################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.625	    2.375	      0.0	      0.0	      0.0	0.0698409	0.0698409	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    2.625	      0.0	      0.0	      0.0	0.0648626	0.0648626	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    2.875	      0.0	      0.0	      0.0	0.0591349	0.0591349	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    3.125	      0.0	      0.0	      0.0	0.0559092	0.0559092	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    3.375	      0.0	      0.0	      0.0	0.0563136	0.0563136	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    3.625	      0.0	      0.0	      0.0	0.0557448	0.0557448	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    3.875	      0.0	      0.0	      0.0	0.0518247	0.0518247	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    4.125	      0.0	      0.0	      0.0	0.0467757	0.0467757	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    4.375	      0.0	      0.0	      0.0	0.0409271	0.0409271	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    4.625	      0.0	      0.0	      0.0	0.0344758	0.0344758	      0.0	      NaN	      0.0	      0.0	      0.0
0.625	    4.875	      0.0	      0.0	      0.0	0.0353488	0.0353488	      0.0	      NaN	      0.0	      0.0	      0.0

0.875	    0.125	      0.0	      0.0	      0.0	  0.10433	  0.10433	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    0.375	      0.0	      0.0	      0.0	0.0987948	0.0987948	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    0.625	      0.0	      0.0	      0.0	0.0936652	0.0936652	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    0.875	      0.0	      0.0	      0.0	0.0879068	0.0879068	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    1.125	      0.0	      0.0	      0.0	0.0827768	0.0827768	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    1.375	      0.0	      0.0	      0.0	0.0803765	0.0803765	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    1.625	      0.0	      0.0	      0.0	0.0795947	0.0795947	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    1.875	      0.0	      0.0	      0.0	0.0812971	0.0812971	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    2.125	      0.0	      0.0	      0.0	0.0852838	0.0852838	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    2.375	      0.0	      0.0	      0.0	0.0862957	0.0862957	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    2.625	      0.0	      0.0	      0.0	0.0814268	0.0814268	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    2.875	      0.0	      0.0	      0.0	0.0735981	0.0735981	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    3.125	      0.0	      0.0	      0.0	0.0678568	0.0678568	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    3.375	      0.0	      0.0	      0.0	0.0660571	0.0660571	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    3.625	      0.0	      0.0	      0.0	0.0649451	0.0649451	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    3.875	      0.0	      0.0	      0.0	0.0617769	0.0617769	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    4.125	      0.0	      0.0	      0.0	0.0581801	0.0581801	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    4.375	      0.0	      0.0	      0.0	0.0547934	0.0547934	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    4.625	      0.0	      0.0	      0.0	 0.050785	 0.050785	      0.0	      NaN	      0.0	      0.0	      0.0
0.875	    4.875	      0.0	      0.0	      0.0	0.0517706	0.0517706	      0.0	      NaN	      0.0	      0.0	      0.0

1.125	    0.125	      0.0	      0.0	      0.0	 0.112216	 0.112216	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    0.375	      0.0	      0.0	      0.0	  0.10623	  0.10623	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    0.625	      0.0	      0.0	      0.0	 0.102069	 0.102069	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    0.875	      0.0	      0.0	      0.0	0.0992074	0.0992074	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    1.125	      0.0	      0.0	      0.0	0.0956868	0.0956868	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    1.375	      0.0	      0.0	      0.0	0.0925577	0.0925577	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    1.625	      0.0	      0.0	      0.0	0.0914932	0.0914932	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    1.875	      0.0	      0.0	      0.0	0.0929878	0.0929878	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    2.125	      0.0	      0.0	      0.0	0.0958856	0.0958856	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    2.375	      0.0	      0.0	      0.0	0.0969538	0.0969538	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    2.625	      0.0	      0.0	      0.0	 0.093014	 0.093014	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    2.875	      0.0	      0.0	      0.0	0.0858974	0.0858974	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    3.125	      0.0	      0.0	      0.0	0.0799438	0.0799438	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    3.375	      0.0	      0.0	      0.0	0.0767434	0.0767434	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    3.625	      0.0	      0.0	      0.0	 0.075216	 0.075216	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    3.875	      0.0	      0.0	      0.0	0.0739687	0.0739687	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    4.125	      0.0	      0.0	      0.0	0.0732576	0.0732576	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    4.375	      0.0	      0.0	      0.0	0.0722252	0.0722252	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    4.625	      0.0	      0.0	      0.0	0.0701186	0.0701186	      0.0	      NaN	      0.0	      0.0	      0.0
1.125	    4.875	      0.0	      0.0	      0.0	  0.07145	  0.07145	      0.0	      NaN	      0.0	      0.0	      0.0

1.375	    0.125	      0.0	      0.0	      0.0	 0.122643	 0.122643	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    0.375	      0.0	      0.0	      0.0	 0.117494	 0.117494	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    0.625	      0.0	      0.0	      0.0	 0.113649	 0.113649	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    0.875	      0.0	      0.0	      0.0	 0.110304	 0.110304	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    1.125	      0.0	      0.0	      0.0	 0.106582	 0.106582	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    1.375	      0.0	      0.0	      0.0	 0.103225	 0.103225	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    1.625	      0.0	      0.0	      0.0	 0.101772	 0.101772	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    1.875	      0.0	      0.0	      0.0	 0.103318	 0.103318	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    2.125	      0.0	      0.0	      0.0	 0.106325	 0.106325	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    2.375	      0.0	      0.0	      0.0	 0.106748	 0.106748	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    2.625	      0.0	      0.0	      0.0	    0.102	    0.102	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    2.875	      0.0	      0.0	      0.0	0.0951479	0.0951479	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    3.125	      0.0	      0.0	      0.0	0.0905025	0.0905025	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    3.375	      0.0	      0.0	      0.0	0.0889325	0.0889325	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    3.625	      0.0	      0.0	      0.0	0.0893076	0.0893076	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    3.875	      0.0	      0.0	      0.0	0.0903686	0.0903686	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    4.125	      0.0	      0.0	      0.0	0.0908988	0.0908988	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    4.375	      0.0	      0.0	      0.0	0.0895695	0.0895695	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    4.625	      0.0	      0.0	      0.0	0.0871412	0.0871412	      0.0	      NaN	      0.0	      0.0	      0.0
1.375	    4.875	      0.0	      0.0	      0.0	0.0884272	0.0884272	      0.0	      NaN	      0.0	      0.0	      0.0

1.625	    0.125	      0.0	      0.0	      0.0	 0.134051	 0.134051	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    0.375	      0.0	      0.0	      0.0	 0.129784	 0.129784	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    0.625	      0.0	      0.0	      0.0	 0.125801	 0.125801	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    0.875	      0.0	      0.0	      0.0	  0.12135	  0.12135	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    1.125	      0.0	      0.0	      0.0	 0.116759	 0.116759	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    1.375	      0.0	      0.0	      0.0	 0.113584	 0.113584	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    1.625	      0.0	      0.0	      0.0	 0.112728	 0.112728	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    1.875	      0.0	      0.0	      0.0	  0.11437	  0.11437	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    2.125	      0.0	      0.0	      0.0	 0.117797	 0.117797	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    2.375	      0.0	      0.0	      0.0	 0.118495	 0.118495	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    2.625	      0.0	      0.0	      0.0	 0.112213	 0.112213	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    2.875	      0.0	      0.0	      0.0	 0.104233	 0.104233	      0.0	      NaN	      0.0	      0.0	      0.0
1.625	    3.125	      0.0	      0.0	      0.0	 0.101215	 0.101215	      0.0	      NaN	      0.0	      0.0	      0.0
