################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.0381	   3.1623	0.0149386	  3.76181	0.000370978	  10.0087	  9.99375	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.2385	0.0149386	  3.76181	0.000370978	  10.0085	   9.9936	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.3147	0.0149386	  3.76181	0.000370978	  10.0084	  9.99345	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.3909	0.0149386	  3.76181	0.000370978	  10.0082	  9.99329	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.4671	0.0149386	  3.76181	0.000370978	  10.0081	  9.99314	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.5433	0.0149386	  3.76181	0.000370978	  10.0079	  9.99299	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.6195	0.0149386	  3.76181	0.000370978	  10.0078	  9.99284	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.6957	0.0149386	  3.76181	0.000370978	  10.0076	  9.99268	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.7719	0.0149386	  3.76181	0.000370978	  10.0075	  9.99253	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.8481	0.0149386	  3.76181	0.000370978	  10.0073	  9.99238	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   3.9243	0.0149386	  3.76181	0.000370978	  10.0072	  9.99223	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   4.0005	0.0149386	  3.76181	0.000370978	   10.007	  9.99208	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   4.0767	0.0149386	  3.76181	0.000370978	  10.0069	  9.99192	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
